School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
University of Maine at Presque Isle,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Presque Isle, ME",owls.umpi.edu/landing/index,www.umpi.edu,1_1.thumbnail_default.jpg
Maine Maritime Academy,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Castine, ME",www.mainemaritime.edu/,www.marinersports.org,2_2.apple-touch-icon-180x180.png
Colby College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Waterville, ME",www.colby.edu,www.colby.edu/athletics,3_3.favicon.ico
"University of Maine, Farmington",Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Farmington, ME",www.goUMFbeavers.com,www.umf.maine.edu/,4_4.thumbnail_default.jpg
Bates College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lewiston, ME",www.bates.edu,www.bates.edu/sport.xml,5_5.site.png
University of New England,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Research Universities,"Biddeford, ME",athletics.une.edu,www.une.edu,6_6.site.png
University of Southern Maine,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Gorham, ME",www.southernmainehuskies.com,www.usm.maine.edu,7_7.thumbnail_default.jpg
Saint Joseph's College (Maine),Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Standish, ME",www.gomonks.com,www.sjcme.edu,8_8.favicon-194x194.png
Husson University,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Coast Athletic Conference,Non-HBCU,Private,Research Universities,"Bangor, ME",www.husson.edu,www.hussoneagles.com,9_9.thumbnail_default.jpg
"University of Maine, Orono",Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Orono, ME",www.goblackbears.com,www.umaine.edu,10_10.site.png
Bowdoin College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Brunswick, ME",www.bowdoin.edu,www.bowdoin.edu/athletics/,11_11.favicon.ico
University of New Hampshire,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Durham, NH",www.unh.edu/,www.unhwildcats.com,12_12.site.png
Southern New Hampshire University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Manchester, NH",www.snhu.edu,www.snhupenmen.com,13_13.thumbnail_default.jpg
Saint Anselm College,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Baccalaureate Colleges,"Manchester, NH",www.anselm.edu,www.saintanselmhawks.com,14_14.favicon-194x194.png
New England College,Division III,Division III,Non-DI,Active Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Master's Colleges & Universities,"Henniker, NH",athletics.nec.edu/,www.nec.edu/,15_15.favicon.ico
Plymouth State University,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Master's Colleges & Universities,"Plymouth, NH",www.plymouth.edu/,www.plymouth.edu/athletic/,16_16.favicon.ico
Colby-Sawyer College,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"New London, NH",www.colby-sawyer.edu,www.colby-sawyerathletics.com/index.aspx,17_17.favicon.ico
Dartmouth College,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Hanover, NH",www.dartmouth.edu,www.dartmouthsports.com,18_18.site.png
Northern Vermont University-Lyndon,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,-2.0,"Lyndonville, VT",www.lyndonhornets.com,www.lyndonstate.edu,19_19.thumbnail_default.jpg
Northern Vermont University-Johnson,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Johnson, VT",athletics.jsc.edu,www.jsc.edu/,20_20.thumbnail_default.jpg
Norwich University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Northfield, VT",www.norwich.edu,www.norwichathletics.com,21_21.thumbnail_default.jpg
Saint Michael's College,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Baccalaureate Colleges,"Colchester, VT",www.smcathletics.com,www.smcvt.edu,22_22.thumbnail_default.jpg
University of Vermont,Division I,Division I,DI Subdivision,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Burlington, VT",www.uvm.edu/,www.uvmathletics.com,23_23.site.png
Middlebury College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Middlebury, VT",www.middlebury.edu/,www.middlebury.edu/athletics,24_24.icon-ipad-retina.png
Castleton University,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Baccalaureate Colleges,"Castleton, VT",www.castleton.edu,www.castletonsports.com/landing/index,25_25.favicon-194x194.png
Thomas College,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Waterville, ME",www.thomas.edu/,www.thomasathletics.com,26_26.site.png
Massachusetts College of Liberal Arts,Division III,Division III,Non-DI,Active Member,Massachusetts State Collegiate Athletic Conference,Massachusetts State Collegiate Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"North Adams, MA",athletics.mcla.edu/,www.mcla.edu/,27_27.thumbnail_default.jpg
Keene State College,Division III,Division III,Non-DI,Active Member,Little East Conference,Little East Conference,Non-HBCU,Public,Baccalaureate Colleges,"Keene, NH",www.keene.edu,www.keeneowls.com,28_28.site.png
Franklin Pierce University,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Rindge, NH",athletics.franklinpierce.edu,www.franklinpierce.edu,
Rivier University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Nashua, NH",www.rivier.edu,www.rivierathletics.com,30_30.thumbnail_default.jpg
Endicott College,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Beverly, MA",www.ecgulls.com,www.endicott.edu,31_31.thumbnail_default.jpg
Gordon College,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Baccalaureate Colleges,"Wenham, MA",athletics.gordon.edu/index.aspx,www.gordon.edu,32_32.favicon.ico
University of Massachusetts Lowell,Division I,Division I,DI Subdivision,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Lowell, MA",www.goriverhawks.com,www.uml.edu/,
Emmanuel College (Massachusetts),Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Boston, MA",www.emmanuel.edu,www.goecsaints.com,34_34.thumbnail_default.jpg
Wentworth Institute of Technology,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Boston, MA",www.wentworthathletics.com,www.wit.edu,35_35.thumbnail_default.jpg
Massachusetts Institute of Technology,Division III,Division III,Non-DI,Active Member,New England Women's and Men's Athletic Conference,New England Women's and Men's Athletic Conference,Non-HBCU,Private,Research Universities,"Cambridge, MA",www.mitathletics.com,www.web.mit.edu,36_36.thumbnail_default.jpg
Harvard University,Division I,Division I,DI FCS,Active Member,The Ivy League,The Ivy League,Non-HBCU,Private,Research Universities,"Boston, MA",www.gocrimson.com,www.harvard.edu,37_37.favicon.ico
Lesley University,Division III,Division III,Non-DI,Active Member,New England Collegiate Conference,New England Collegiate Conference,Non-HBCU,Private,Research Universities,"Cambridge, MA",athletics.lesley.edu,www.lesley.edu,38_38.thumbnail_default.jpg
Boston University,Division I,Division I,DI Subdivision,Active Member,Patriot League,Patriot League,Non-HBCU,Private,Research Universities,"Boston, MA",goterriers.com,www.bu.edu,39_39.favicon.ico
