School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon
Bard College,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Annandale-On-Hudson, NY",www.bard.edu,www.bardathletics.com,184_184.site.png
The Sage Colleges,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Research Universities,"Troy, NY",www.sage.edu/,www.sagegators.com,185_185.thumbnail_default.jpg
Rensselaer Polytechnic Institute,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Research Universities,"Troy, NY",www.rpi.edu,www.rpiathletics.com,186_186.favicon.ico
Siena College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Loudonville, NY",www.siena.edu,www.sienasaints.com,187_187.site.png
University at Albany,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Albany, NY",www.albany.edu,www.ualbanysports.com,188_188.favicon.ico
Union College (New York),Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Schenectady, NY",www.union.edu/,www.unionathletics.com/,189_189.favicon.ico
Plattsburgh State University of New York,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Plattsburgh, NY",www.gocardinalsports.com/,www.plattsburgh.edu/,191_191.favicon.ico
State University of New York at Potsdam,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Potsdam, NY",www.potsdam.edu/,www.potsdambears.com,192_192.site.png
St. Lawrence University,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Canton, NY",www.saintsathletics.com,www.stlawu.edu/,193_193.site.png
Clarkson University,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Research Universities,"Potsdam, NY",www.clarkson.edu,www.clarksonathletics.com,194_194.favicon.ico
State University of New York at Canton,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Canton, NY",www.canton.edu/,www.rooathletics.com,195_195.site.png
The College of Saint Rose,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Albany, NY",gogoldenknights.com,www.strose.edu,196_196.site.png
State University of New York at Cobleskill,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Cobleskill, NY",www.cobleskill.edu/ATHLETICS,www.cobleskill.edu/home.asp,197_197.favicon.ico
