Auburn University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Auburn, AL",www.auburn.edu,www.auburntigers.com,32.535699,-85.48677785023041,"['https://cdn.auburn.edu/2016/_assets/images/auburn-logo-horizontal-bw.png', 'https://cdn.auburn.edu/2016/_assets/images/auburn-logo-horizontal.svg']","['https://www.auburn.edu', 'https://www.auburn.edu']"
Alabama A&M University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Normal, AL",www.aamu.edu,www.aamusports.com/,34.7889792,-86.5719369,"['/_resources/img/logos/footer/logo-arra.png', '/_resources/img/logos/footer/military-friendly-schools-19-20-top10-150x150.png']","['https://www.aamu.edu', 'https://www.aamu.edu']"
Alabama State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Montgomery, AL",www.alasu.edu,www.bamastatesports.com,32.3669656,-86.3006485,"['/sites/default/files/logo.png', '/sites/default/files/inline-images/hia-logo-onwhite.jpg', '/themes/asu/images/dt-gov-link-logo.png']","['https://www.alasu.edu', 'https://www.alasu.edu', 'https://www.alasu.edu']"
West Virginia State University,Division II,Division II,Non-DI,Active Member,Mountain East Conference,Mountain East Conference,HBCU,Public,Baccalaureate Colleges,"Institute, WV",www.wvstateu.edu,www.wvsuyellowjackets.com,38.3836097,-81.7654665,"['/cmsimages/wvsu-logo.png', '/cmsimages/wvsu-logo.png']","['https://www.wvstateu.edu', 'https://www.wvstateu.edu']"
Tuskegee University,Division II,Division II,Non-DI,Active Member,Southern Intercol. Ath. Conf.,Southern Intercol. Ath. Conf.,HBCU,Private,Master's Colleges & Universities,"Tuskegee, AL",www.goldentigersports.com/,www.tuskegee.edu,32.4240286,-85.6916195,[],[]
Samford University,Division I,Division I,DI FCS,Active Member,Southern Conference,Southern Conference,Non-HBCU,Private,Research Universities,"Birmingham, AL",samfordsports.com,www.samford.edu/,33.5206824,-86.8024326,"['/images/assets/logo-samford-university.png', 'https://dbukjj6eu5tsf.cloudfront.net//logos.sidearmsports.com/footer_logos/other/van-wagner.svg', '/images/assets/logos-ad-02.png', 'http://clients.sidearmsports.com/sidearm_files/logos/independen/ncaa.png', 'https://dbukjj6eu5tsf.cloudfront.net//logos.sidearmsports.com/footer_logos/sidearm/sidearm_vertical_blue-orange.svg', 'https://dbukjj6eu5tsf.cloudfront.net//logos.sidearmsports.com/footer_logos/other/van-wagner.svg', '/images/assets/logos-ad-02.png', 'http://clients.sidearmsports.com/sidearm_files/logos/independen/ncaa.png', 'https://dbukjj6eu5tsf.cloudfront.net//logos.sidearmsports.com/footer_logos/sidearm/sidearm_vertical_blue-orange.svg']","['https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com', 'https://samfordsports.com']"
Huntingdon College,Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Montgomery, AL",www.huntingdon.edu,www.huntingdonhawks.com,32.3669656,-86.3006485,"['https://www.huntingdon.edu/wp-content/uploads/small-logo.png', 'https://www.huntingdon.edu/wp-content/uploads/new-logo.png']","['https://www.huntingdon.edu', 'https://www.huntingdon.edu']"
University of North Carolina Wilmington,Division I,Division I,DI Subdivision,Active Member,Colonial Athletic Association,Colonial Athletic Association,Non-HBCU,Public,Research Universities,"Wilmington, NC",www.uncw.edu,www.uncwsports.com,34.2257282,-77.9447107,[],[]
University of Alabama in Huntsville,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Research Universities,"Huntsville, AL",www.uah.edu,www.uahchargers.com,34.729847,-86.5859011,['/templates/uah/images/logoblue.svg'],['https://www.uah.edu']
University of North Alabama,Division II,Division II,Non-DI,II Reclassifying to I (B20.5.2.1),ASUN Conference,ASUN Conference,Non-HBCU,Public,Master's Colleges & Universities,"Florence, AL",www.roarlions.com,www.una.edu/,34.79981,-87.677251,['https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/una.sidearmsports.com/images/responsive_2019/main_logo.svg'],['https://roarlions.com/']
Erskine College,Division II,Division II,Non-DI,Active Member,Conference Carolinas,Conference Carolinas,Non-HBCU,Private,Baccalaureate Colleges,"Due West, SC",www.erskine.edu,www.erskinesports.com,34.3334469,-82.387902,[],[]
University of Montevallo,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Montevallo, AL",www.montevallo.edu,www.montevallofalcons.com,33.1006746,-86.8641558,"['https://www.montevallo.edu/wp-content/uploads/2020/02/umlogo.png', 'https://www.montevallo.edu/wp-content/uploads/2020/02/umlogo.png']","['https://www.montevallo.edu', 'https://www.montevallo.edu']"
Troy University,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Master's Colleges & Universities,"Troy, AL",www.troy.edu,www.troytrojans.com,31.8087678,-85.969951,"['/_resources/images/troy-logo-svg.svg', '/_resources/images/troy-logo-svg.svg', '/_resources/images/troy-logo-svg.svg']","['https://www.troy.edu', 'https://www.troy.edu', 'https://www.troy.edu']"
University of West Florida,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Pensacola, FL",www.goargos.com,www.uwf.edu/,30.421309,-87.2169149,"['https://s3.amazonaws.com/sidearm.sites/uwf.sidearmsports.com/images/2018/2/13/holiday_inn_logo.jpg', 'https://s3.amazonaws.com/sidearm.sites/uwf.sidearmsports.com/images/2015/7/16/penair_logo_web.jpg', 'https://s3.amazonaws.com/sidearm.sites/uwf.sidearmsports.com/images/2017/7/26/bsn_logo_2color_186_black.jpg', 'https://s3.amazonaws.com/sidearm.sites/uwf.sidearmsports.com/images/2018/3/26/cc_united_logo_pensacola_values.jpg']","['https://www.goargos.com', 'https://www.goargos.com', 'https://www.goargos.com', 'https://www.goargos.com']"
Mississippi University for Women,Division III,Division III,Non-DI,Provisional Member,Independent,Independent,Non-HBCU,Public,Master's Colleges & Universities,"Columbus, MS",www.muw.edu,www.owlsathletics.com/landing/index,33.4956744,-88.4272627,[],[]
Belhaven University,Division III,Division III,Non-DI,Active Member,American Southwest Conference,American Southwest Conference,Non-HBCU,Private,Master's Colleges & Universities,"Jackson, MS",blazers.belhaven.edu,www.belhaven.edu,32.2990384,-90.1847691,['/images/header_logo.png'],['https://blazers.belhaven.edu']
Westminster College (Missouri),Division III,Division III,Non-DI,Active Member,St. Louis Intercollegiate Athletic Conference,St. Louis Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Fulton, MO",www.wcbluejays.com/landing/index,www.westminster-mo.edu/,38.8467082,-91.9479586,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
DePauw University,Division III,Division III,Non-DI,Active Member,North Coast Athletic Conference,North Coast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Greencastle, IN",depauwtigers.com/landing/index,www.depauw.edu,39.6444898,-86.8647316,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Kalamazoo College,Division III,Division III,Non-DI,Active Member,Michigan Intercol. Ath. Assn.,Michigan Intercol. Ath. Assn.,Non-HBCU,Private,Baccalaureate Colleges,"Kalamazoo, MI",hornets.kzoo.edu/landing/index,www.kzoo.edu/,42.291707,-85.5872286,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Southern Virginia University,Division III,Division III,Non-DI,Active Member,Capital Athletic Conference Inc.,Capital Athletic Conference Inc.,Non-HBCU,Private,Baccalaureate Colleges,"Buena Vista, VA",athletics.svu.edu/landing/index,www.svu.edu,37.7342962,-79.3539292,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Virginia Wesleyan University,Division III,Division III,Non-DI,Active Member,Old Dominion Athletic Conf.,Old Dominion Athletic Conf.,Non-HBCU,Private,Baccalaureate Colleges,"Virginia Beach, VA",vwcathletics.com/landing/index,www.vwc.edu/,36.8529841,-75.9774183,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
University of Findlay,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Research Universities,"Findlay, OH",athletics.findlay.edu/landing/index,www.findlay.edu,41.0413873,-83.6503982,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Franklin College,Division III,Division III,Non-DI,Active Member,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Franklin, IN",franklingrizzlies.com/landing/index,www.franklincollege.edu,39.4149034,-85.0563234,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Bellarmine University,Division II,Division II,Non-DI,Active Member,Great Lakes Valley Conference,Great Lakes Valley Conference,Non-HBCU,Private,Research Universities,"Louisville, KY",athletics.bellarmine.edu/index.aspx,www.bellarmine.edu,38.2542376,-85.759407,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
State University of New York at Oswego,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Oswego, NY",oswegolakers.com/index.aspx,www.oswego.edu/index,43.4112973,-76.1279841,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
D'Youville College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Research Universities,"Buffalo, NY",athletics.dyc.edu/landing/index,www.dyc.edu,42.8867166,-78.8783922,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
University of Scranton,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Master's Colleges & Universities,"Scranton, PA",athletics.scranton.edu/landing/index,www.scranton.edu,41.4086874,-75.6621294,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Moravian College,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bethlehem, PA",moraviansports.com/landing/index,www.moravian.edu,-1.45056,-48.4682453,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Millersville University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Millersville, PA",www.millersville.edu/index.php,www.millersvilleathletics.com/index.aspx,39.997998,-76.3545372,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
"Fairleigh Dickinson University, Florham",Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Madison, NJ",fdudevils.com/index.aspx,www.view2.fdu.edu/campuses-and-centers/florham-campus/,40.7598227,-74.417097,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Wilmington University (Delaware),Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Research Universities,"New Castle, DE",athletics.wilmu.edu/landing/index,www.wilmu.edu/index.aspx,39.6620572,-75.5663132,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
University of Maine at Presque Isle,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Presque Isle, ME",owls.umpi.edu/landing/index,www.umpi.edu,46.681479,-68.016357,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Gordon College,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Baccalaureate Colleges,"Wenham, MA",athletics.gordon.edu/index.aspx,www.gordon.edu,42.60428065,-70.89315706857332,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Tufts University,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Research Universities,"Medford, MA",www.gotuftsjumbos.com/landing/index,www.tufts.edu/,42.4184296,-71.1061639,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Williams College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Williamstown, MA",athletics.williams.edu/landing/index,www.williams.edu/,42.6889156,-73.2246057,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Willamette University,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Salem, OR",willamette.prestosports.com/landing/index,www.willamette.edu/,44.9391565,-123.033121,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Colorado School of Mines,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Research Universities,"Golden, CO",www.csmorediggers.com/landing/index,www.mines.edu,39.755543,-105.2210997,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
Johnson & Wales University (Denver),Division III,Division III,Non-DI,Provisional Member,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Denver, CO",denver.jwuathletics.com/landing/index,www.jwu.edu/campuses/denver/index.html,39.7392364,-104.9848623,['https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png'],['https://www.bctornados.com/landing/index']
University of Alabama,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Tuscaloosa, AL",www.rolltide.com,www.ua.edu,33.2095614,-87.5675258,"['https://dbukjj6eu5tsf.cloudfront.net/rolltide.com/images/responsive_2019/main_logo.svg', 'https://dbukjj6eu5tsf.cloudfront.net/rolltide.com/images/responsive_2019/main_logo.svg']","['https://rolltide.com/', 'https://rolltide.com/']"
Mississippi College,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Research Universities,"Clinton, MS",www.gochoctaws.com,www.mc.edu,32.3415342,-90.3217585,[],[]
Mississippi State University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Mississippi State, MS",www.hailstate.com,www.msstate.edu/,33.4549304,-88.7859584,[],[]
Oakland City University,Division II,Division II,Non-DI,Active Member,Independent,Independent,Non-HBCU,Private,Baccalaureate Colleges,"Oakland City, IN",www.oak.edu/,www.oak.edu/athletics2/index.php,38.3386591,-87.3450132,"['/themes/custom/ocu_2016/images/header-logo-small.svg', '/themes/custom/ocu_2016/images/header-logo-medium.svg']","['https://www.oak.edu/', 'https://www.oak.edu/']"
Jackson State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Research Universities,"Jackson, MS",www.jsums.edu/,www.jsutigers.com,32.2990384,-90.1847691,"['https://www.jsums.edu/wp-content/uploads/2020/08/jsu_logo_blue-1.png', 'https://www.jsums.edu/wp-content/uploads/2020/08/jsu_logo_blue-1.png']","['https://www.jsums.edu/', 'https://www.jsums.edu/']"
Mississippi Valley State University,Division I,Division I,DI FCS,Active Member,Southwestern Athletic Conf.,Southwestern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Itta Bena, MS",www.mvsu.edu,www.mvsusports.com,33.49512,-90.3198067,"['https://www.mvsu.edu/sites/default/files/valleylogo_0.png', 'https://www.mvsu.edu/sites/default/files/valleylogo_0.png', '/sites/default/files/ms_grad_jobs_logo.png']","['https://www.mvsu.edu', 'https://www.mvsu.edu', 'https://www.mvsu.edu']"
Delta State University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Public,Master's Colleges & Universities,"Cleveland, MS",www.deltastate.edu,www.gostatesmen.com,33.7440023,-90.7248187,['https://www.deltastate.edu/wp-content/uploads/2016/07/dsu-logo_fullcolor-1.png'],['https://www.deltastate.edu']
University of Tennessee at Martin,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Master's Colleges & Universities,"Martin, TN",www.utm.edu/,www.utmsports.com,35.7730076,-86.2820081,[],[]
Union University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Research Universities,"Jackson, TN",www.uu.edu,www.uuathletics.com,35.6144446,-88.8177418,[],[]
Vanderbilt University,Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Private,Research Universities,"Nashville, TN",www.vanderbilt.edu/,www.vucommodores.com,36.1622296,-86.7743531,[],[]
Eastern Mennonite University,Division III,Division III,Non-DI,Active Member,Old Dominion Athletic Conf.,Old Dominion Athletic Conf.,Non-HBCU,Private,Master's Colleges & Universities,"Harrisonburg, VA",www.emu.edu,www.emuroyals.com,38.4493315,-78.8688833,"['/_resources/images/emu-lettermark-logo-color-white.png', '/_resources/images/emu-lettermark-logo-color-white.png']","['https://emu.edu/', 'https://emu.edu/']"
Westminster College (Missouri),Division III,Division III,Non-DI,Active Member,St. Louis Intercollegiate Athletic Conference,St. Louis Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Fulton, MO",www.wcbluejays.com/landing/index,www.westminster-mo.edu/,38.8467082,-91.9479586,"['/images/setup/site-logo.png', '/images/setup/footer_logo_edu.png', 'https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png', 'https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo-white.png']","['https://www.tnutrojans.com/landing/index', 'https://www.tnutrojans.com/landing/index', 'https://www.tnutrojans.com/landing/index', 'https://www.tnutrojans.com/landing/index']"
DePauw University,Division III,Division III,Non-DI,Active Member,North Coast Athletic Conference,North Coast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Greencastle, IN",depauwtigers.com/landing/index,www.depauw.edu,39.6444898,-86.8647316,"['/images/setup/site-logo.png', '/images/setup/footer_logo_edu.png', 'https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo.png', 'https://s3.amazonaws.com/logos.psbin.com/prestosports/prestosports-logo-white.png']","['https://www.tnutrojans.com/landing/index', 'https://www.tnutrojans.com/landing/index', 'https://www.tnutrojans.com/landing/index', 'https://www.tnutrojans.com/landing/index']"
